learner_id,diagnostic_score,prior_ai_experience,scenario_performance,practice_completion_pct,confidence_1_to_5,completed_advanced_pathway
L0001,66.6,0,42.3,71.0,2,0
L0002,46.4,1,58.5,40.5,4,0
L0003,73.3,0,78.8,71.8,3,0
L0004,76.1,0,66.3,27.1,2,1
L0005,32.7,2,19.5,47.6,4,1
L0006,42.5,1,56.8,31.4,2,0
L0007,63.9,1,40.2,83.1,4,1
L0008,57.3,0,60.2,23.4,3,0
L0009,61.7,1,48.3,67.3,4,1
L0010,49.2,0,38.1,58.4,3,1
L0011,75.2,1,61.1,49.7,4,1
L0012,73.7,0,63.3,84.5,3,1
L0013,63.0,3,51.9,71.3,4,1
L0014,78.9,3,75.5,92.1,3,1
L0015,69.0,0,57.6,72.3,2,1
L0016,49.1,0,63.8,63.3,4,0
L0017,67.5,0,65.5,70.2,3,0
L0018,47.6,1,42.8,78.3,4,0
L0019,75.2,0,56.0,56.5,4,1
L0020,61.3,2,38.9,66.6,2,1
L0021,59.2,2,61.1,92.9,2,1
L0022,51.8,2,49.2,65.1,4,0
L0023,80.3,1,40.7,71.6,3,0
L0024,59.7,3,51.4,72.0,4,1
L0025,55.6,0,44.8,85.9,3,1
L0026,56.7,1,75.1,18.6,4,1
L0027,70.0,1,43.1,96.2,3,1
L0028,67.5,3,44.8,88.0,3,1
L0029,68.2,1,75.8,55.3,3,1
L0030,68.5,2,78.9,49.9,3,0
L0031,94.1,0,67.8,69.1,4,1
L0032,55.9,3,48.2,75.8,3,1
L0033,54.3,1,62.3,45.2,4,1
L0034,49.8,1,24.5,72.7,3,0
L0035,71.2,3,41.8,78.9,3,1
L0036,78.9,1,65.0,66.7,5,1
L0037,60.3,1,76.8,21.8,4,1
L0038,49.4,1,46.9,77.4,3,1
L0039,49.6,0,53.5,88.0,3,1
L0040,71.8,1,78.1,13.0,2,0
L0041,73.1,0,90.5,59.5,3,1
L0042,70.1,0,56.7,68.5,3,1
L0043,52.0,2,53.4,69.5,4,1
L0044,65.5,1,82.9,79.5,4,1
L0045,63.8,1,41.8,73.0,2,1
L0046,65.3,1,73.2,64.4,4,1
L0047,75.1,1,54.1,56.0,3,0
L0048,65.4,2,62.2,89.2,2,1
L0049,72.2,3,61.8,61.6,4,1
L0050,63.0,3,48.2,62.6,4,1
